sampleid	comparison
FEzW0zC1	control
FEzW2zC1	control
FEzW4zC1	control
FEzW6zC1	control
FEzW0zC10	control
FEzW2zC10	control
FEzW4zC10	control
FEzW6zC10	control
FEzW0zC11	control
FEzW2zC11	control
FEzW4zC11	control
FEzW6zC11	control
FEzW0zC2	control
FEzW2zC2	control
FEzW4zC2	control
FEzW6zC2	control
FEzW2zC3	control
FEzW4zC3	control
FEzW6zC3	control
FEzW0zC4	control
FEzW2zC4	control
FEzW4zC4	control
FEzW6zC4	control
FEzW0zC5	control
FEzW2zC5	control
FEzW4zC5	control
FEzW6zC5	control
FEzW0zC6	control
FEzW2zC6	control
FEzW4zC6	control
FEzW6zC6	control
FEzW0zC7	control
FEzW2zC7	control
FEzW4zC7	control
FEzW6zC7	control
FEzW0zC8	control
FEzW2zC8	control
FEzW4zC8	control
FEzW6zC8	control
FEzW0zC9	control
FEzW2zC9	control
FEzW4zC9	control
FEzW6zC9	control
FEzW0zF1	exercise
FEzW2zF1	exercise
FEzW4zF1	exercise
FEzW6zF1	exercise
FEzW0zF11	exercise
FEzW2zF11	exercise
FEzW6zF11	exercise
FEzW0zF2	exercise
FEzW2zF2	exercise
FEzW4zF2	exercise
FEzW6zF2	exercise
FEzW0zF3	exercise
FEzW2zF3	exercise
FEzW4zF3	exercise
FEzW6zF3	exercise
FEzW0zF4	exercise
FEzW2zF4	exercise
FEzW4zF4	exercise
FEzW6zF4	exercise
FEzW0zF5	exercise
FEzW2zF5	exercise
FEzW4zF5	exercise
FEzW6zF5	exercise
FEzW0zF6	exercise
FEzW2zF6	exercise
FEzW4zF6	exercise
FEzW6zF6	exercise
FEzW0zF7	exercise
FEzW2zF7	exercise
FEzW4zF7	exercise
FEzW6zF7	exercise
FEzW2zF8	exercise
FEzW4zF8	exercise
FEzW6zF8	exercise
FEzW0zF9	exercise
FEzW2zF9	exercise
FEzW4zF9	exercise
FEzW6zF9	exercise
